Event,Stress,Difficulty,Time
Stress Decreased,4,0,2,40
Stress Decreased,3,0,3,27
Stress Decreased,2,0,5,12
Stress Decreased,5,0,11,87
Stress Decreased,4,3,8,44
Stress Decreased,3,3,8,98
Stress Decreased,2,4,9,37
Stress Decreased,1,5,9,66
Stress Decreased,1,5,9,92
Stress Increased,2,5,11,50
Stress Increased,3,5,11,89
Stress Increased,4,5,12,52
Stress Increased,5,5,12,77
Stress Increased,6,5,12,97
Stress Increased,7,5,13,14
Stress Increased,8,5,13,44
Stress Increased,9,4,13,76
Stress Increased,10,3,14,06
Stress Increased,6,3,2,44
Stress Increased,7,3,3,19
Stress Increased,8,3,3,58
Stress Increased,6,3,1,32
Stress Increased,7,3,1,89
Stress Increased,8,3,2,23
Stress Increased,9,2,2,52
Stress Increased,10,1,3,20
Stress Increased,10,1,4,14
Stress Decreased,4,3,4,41
Stress Decreased,3,3,4,88
Stress Decreased,2,4,6,28
Stress Increased,6,3,5,28
Stress Increased,7,3,5,54
Stress Increased,8,3,5,76
Stress Increased,9,2,5,99
Stress Increased,10,1,6,24
Stress Increased,10,1,6,43
Stress Increased,10,1,6,64
Stress Increased,10,1,6,85
Stress Increased,10,1,7,07
Stress Increased,10,1,7,34
Stress Decreased,4,3,13,41
Stress Decreased,3,3,14,01
Stress Decreased,2,4,14,22
Stress Increased,6,3,5,29
Stress Increased,7,3,6,02
Stress Increased,8,3,6,52
Stress Increased,9,2,10,32
Stress Increased,10,1,11,96
Stress Increased,10,1,14,33
Stress Decreased,4,3,0,68
Stress Decreased,3,3,1,29
Stress Decreased,2,4,1,61
Stress Decreased,1,5,4,97
Stress Decreased,1,5,5,61
Stress Decreased,1,5,6,44
Stress Decreased,4,3,1,14
Stress Decreased,3,3,1,89
Stress Decreased,2,4,2,42
Stress Decreased,1,5,5,27
Stress Decreased,1,5,6,03
Stress Decreased,1,5,7,10
Stress Decreased,1,5,7,40
Stress Decreased,1,5,7,60
Stress Decreased,1,5,7,82
Stress Decreased,4,3,0,82
Stress Decreased,3,3,2,25
Stress Decreased,2,4,4,80
Stress Decreased,1,5,11,11
Stress Decreased,1,5,11,64
Stress Decreased,1,5,11,93
Stress Decreased,4,3,1,62
Stress Decreased,3,3,2,26
Stress Decreased,2,4,2,81
Stress Decreased,1,5,3,66
Stress Decreased,1,5,6,06
Stress Decreased,4,3,13,77
Stress Decreased,4,3,13,76
Stress Decreased,3,3,14,32
Stress Decreased,2,4,14,63
Stress Decreased,1,5,17,80
Stress Decreased,1,5,18,65
Stress Increased,2,5,19,48
Stress Increased,3,5,19,85
Stress Increased,4,5,20,13
Stress Increased,5,5,20,41
Stress Increased,6,5,20,91
Stress Increased,7,5,21,14
Stress Increased,8,5,21,32
Stress Increased,9,4,21,51
Stress Increased,10,3,23,40
Stress Increased,10,2,23,73
Stress Increased,10,1,24,12
Stress Increased,10,1,25,58
Stress Decreased,4,3,3,78
Stress Decreased,3,3,4,03
Stress Decreased,2,4,4,21
Stress Decreased,1,5,4,64
Stress Decreased,1,5,5,17
Stress Increased,2,5,7,09
Stress Increased,3,5,7,34
Stress Increased,4,5,7,52
Stress Increased,5,5,7,71
Stress Increased,6,5,7,91
Stress Increased,7,5,8,09
Stress Increased,8,5,8,40
Stress Increased,9,4,8,69
Stress Increased,10,3,10,10
Stress Decreased,4,3,1,24
Stress Decreased,3,3,1,41
Stress Decreased,2,4,1,58
Stress Decreased,1,5,1,73
Stress Decreased,1,5,1,86
Stress Decreased,1,5,2,01
Stress Increased,2,5,2,28
Stress Increased,3,5,2,48
Stress Increased,4,5,2,68
Stress Increased,5,5,3,69
Stress Increased,6,5,3,87
Stress Increased,7,5,4,03
Stress Increased,8,5,4,23
Stress Increased,9,4,4,41
Stress Increased,10,3,4,59
Stress Increased,10,2,4,80
Stress Increased,6,3,4,74
Stress Increased,7,3,4,96
Stress Increased,8,3,5,16
Stress Increased,9,2,5,42
Stress Increased,10,1,6,42
Stress Increased,6,3,12,65
Stress Increased,7,3,12,81
Stress Increased,8,3,12,96
Stress Increased,9,2,13,08
Stress Increased,10,1,13,23
Stress Increased,10,1,13,38
Stress Increased,10,1,32,43
Stress Increased,10,1,32,83
Stress Increased,10,1,33,97
Stress Decreased,9,1,34,55
Stress Decreased,8,1,35,05
Stress Decreased,7,1,35,47
Stress Decreased,6,1,35,90
Stress Increased,6,3,6,55
Stress Increased,7,3,6,93
Stress Increased,8,3,7,33
Stress Increased,9,2,8,38
Stress Increased,10,1,10,13
Stress Increased,10,1,15,89
Stress Increased,10,1,16,83
Stress Increased,10,1,17,55
Stress Decreased,4,3,4,79
Stress Decreased,3,3,5,34
Stress Decreased,2,4,6,90
Stress Decreased,1,5,7,55
Stress Decreased,4,3,7,33
Stress Increased,5,3,7,61
Stress Increased,6,3,7,82
Stress Increased,7,3,7,99
Stress Increased,8,3,8,19
Stress Increased,9,2,8,39
Stress Increased,10,1,9,32
Stress Decreased,4,3,7,82
Stress Decreased,3,3,8,03
Stress Decreased,2,4,8,21
Stress Increased,3,5,8,43
Stress Increased,4,5,9,25
Stress Increased,5,5,9,58
Stress Decreased,4,5,10,31
Stress Decreased,3,5,10,58
